ID,Reklam_Gideri,Reklam_Geliri
1,31.23,112.62
2,26.46,84.63
3,32.36,114.5
4,38.92,122.6
5,25.74,106.89
6,25.74,131.29
7,39.34,87.1
8,33.26,79.25
9,23.98,70.35
10,31.57,124.94
11,24.02,110.91
12,24.01,99.07
13,29.31,104.67
14,13.15,81.24
15,14.56,140.77
16,23.28,102.15
17,19.9,101.82
18,29.86,112.1
19,20.69,108.02
20,16.91,103.73
21,38.49,86.82
22,25.81,107.86
23,28.01,131.37
24,16.81,122.43
25,23.42,126.56
26,28.33,91.48
27,18.87,83.5
28,30.32,97.9
29,23.0,100.93
30,25.31,118.24
31,22.99,71.79
32,41.39,125.5
33,27.4,97.37
34,19.57,92.88
35,33.67,83.13
36,18.34,72.41
37,29.07,113.72
38,12.8,101.22
39,17.54,78.5
40,28.98,78.41
41,33.04,94.4
42,28.79,127.82
43,26.63,95.67
44,25.24,74.94
45,16.41,95.9
46,22.1,95.45
47,24.05,55.04
48,35.43,99.09
49,30.08,96.15
50,14.28,111.61
51,29.93,130.82
52,24.61,118.78
53,22.42,95.52
54,32.09,81.55
55,35.23,142.9
56,34.48,100.99
57,21.21,100.23
58,25.18,99.6
59,29.98,103.3
60,34.82,97.59
61,23.91,90.44
62,26.11,90.88
63,19.2,99.45
64,18.53,90.94
65,33.59,88.12
66,37.67,101.77
67,26.96,95.75
68,35.03,125.07
69,30.21,55.81
70,22.66,118.2
71,30.21,120.77
72,39.04,65.44
73,27.23,94.29
74,39.23,93.81
75,7.85,76.54
76,33.66,87.03
77,28.15,81.49
78,25.26,129.21
79,28.19,115.6
80,12.59,121.2
81,25.85,112.03
82,30.18,81.18
83,38.58,91.26
84,23.61,108.16
85,21.44,79.63
86,23.74,111.89
87,34.37,95.99
88,29.97,93.75
89,23.53,111.85
90,31.35,107.41
91,28.23,93.98
92,34.76,119.33
93,22.23,81.98
94,25.04,110.27
95,24.56,109.89
96,16.52,94.84
97,29.72,105.44
98,29.46,79.14
99,27.54,115.4
100,25.74,96.92
101,16.88,91.29
102,24.35,117.49
103,24.93,88.26
104,21.48,76.52
105,26.29,74.05
106,30.53,110.1
107,41.65,78.66
108,28.81,129.25
109,29.43,65.29
110,26.94,128.28
111,13.11,103.52
112,27.3,98.39
113,27.95,90.92
114,45.97,106.65
115,26.06,99.37
116,29.76,118.39
117,27.24,101.9
118,18.73,102.51
119,36.07,93.94
120,33.14,99.05
121,33.43,105.13
122,20.68,71.49
123,38.02,77.53
124,16.99,112.39
125,31.9,102.85
126,43.93,96.93
127,20.07,100.31
128,23.25,105.79
129,28.25,91.0
130,23.72,87.03
131,15.87,103.26
132,28.01,83.69
133,19.53,106.81
134,31.05,71.62
135,20.6,117.16
136,39.12,107.88
137,21.63,104.27
138,25.08,116.38
139,33.6,127.76
140,18.27,116.91
141,29.21,69.31
142,37.3,78.67
143,15.44,89.58
144,28.88,100.43
145,29.45,108.63
146,33.36,87.9
147,18.22,103.11
148,17.6,87.41
149,31.41,89.81
150,29.73,76.55
151,29.38,84.61
152,30.1,77.47
153,22.4,83.73
154,29.24,117.56
155,29.7,84.17
156,22.14,143.88
157,41.49,108.22
158,31.05,103.08
159,18.57,85.69
160,32.42,111.67
161,20.19,90.4
162,33.4,102.03
163,36.19,142.68
164,21.34,98.4
165,34.73,119.16
166,30.6,88.28
167,33.67,99.42
168,41.73,129.52
169,25.66,89.55
170,21.85,130.21
171,20.83,111.8
172,21.38,90.62
173,26.92,110.54
174,30.06,116.21
175,29.58,110.37
176,33.7,73.82
177,27.6,87.88
178,38.4,95.87
179,25.52,98.76
180,47.9,110.35
181,32.19,102.96
182,21.07,77.74
183,19.47,106.34
184,31.12,110.18
185,25.82,109.33
186,32.86,118.02
187,31.05,113.9
188,26.95,107.65
189,21.15,98.83
190,16.14,72.31
191,24.15,107.16
192,33.92,103.46
193,29.11,104.53
194,18.16,78.72
195,28.8,81.98
196,30.39,117.56
197,20.87,99.34
198,28.65,111.36
199,27.94,100.47
200,18.93,100.5
201,30.18,115.64
202,31.71,91.4
203,35.62,101.6
204,35.4,92.29
205,17.17,92.76
206,20.47,94.85
207,31.36,103.7
208,31.35,92.02
209,31.36,120.93
210,50.0,85.09
211,31.78,96.88
212,36.02,92.67
213,34.66,124.12
214,32.39,103.28
215,25.14,117.2
216,33.19,75.24
217,21.7,104.45
218,25.72,114.83
219,23.86,101.37
220,28.11,117.76
221,44.86,91.38
222,13.5,123.49
223,32.65,138.32
224,15.4,93.95
225,23.96,92.57
226,35.67,124.23
227,27.98,126.33
228,19.42,91.28
229,22.14,93.0
230,32.6,95.3
231,22.02,77.59
232,29.12,84.69
233,27.84,83.26
234,22.61,87.2
235,43.58,99.42
236,32.25,103.9
237,12.31,125.85
238,28.9,83.36
239,22.54,116.41
240,33.89,96.43
241,21.56,99.18
242,26.64,111.25
243,31.29,81.28
244,33.99,106.37
245,18.5,102.77
246,24.99,108.21
